Bank and Account Name,Customer Score,Maximum interest rate,Max deposit earning interest,Min funding/month
Virgin Money M Plus,68%,2.02%,"£1,000.00 ",n/a
Starling Current Account,83%,3.25%,"£5,000.00 ",n/a
Santander Edge Up,70%,3.50%,"£25,000.00 ","£1,500.00 "
Nationwide Building Society FlexDirect,78%,5%,"£1,500.00 ","£1,000.00 "
Lloyds Bank Club Lloyds,72%,3%,"£5,000.00 ","£1,500.00 "
Kroo Bank Current Account,n/a,4.10%,"£85,000.00 ",n/a
Bank of Scotland Classic with Vantage,72%,3%,"£5,000.00 ","£1,000.00 "
