Bank and Account Name,Customer Score,Cheapest overdraft charge,Cost of £500 overdraft for one week
Cumberland Building Society Cumberland Plus,n/a,14.99%,£1.34 
Starling Bank Current Account,83%,15%,£1.35 
,,,
Triodos Bank Current Account,n/a,15.79%,£1.41 
,,,
Virgin Money M Plus Account,68%,19.90%,£1.74 
