Bank Name,Percentage score
Monzo Bank,86
Starling Bank,84
First Direct,83
Metro Bank,81
Nationwide,71
Barclays,62
Halifax,62
Santander,61
Lloyds Bank,60
Virgin Money,60
HSBC,59
NatWest,58
Bank of Scotland,58
The Co-operative Bank,57
Yorkshire Bank,56
TSB,51
Clydesdale bank,51
Royal Bank of Scotland,46
Tesco Bank,44
